time,starting,ending
0,8438,11125
1,2458,3543
2,1626,1858
3,1331,1400
4,2174,1517
5,11927,7156
6,23947,20069
7,28214,27002
8,28076,28571
9,25849,26701
10,25352,25146
11,26458,25791
12,27266,27076
13,27601,27896
14,26471,26568
15,28481,27198
16,32308,30851
17,31471,31829
18,29060,30543
19,24115,26548
20,18531,20831
21,15217,16373
22,13824,14164
23,13038,13477
