canton,transport_type,counts
Aargau,bus,212358
Aargau,other,398
Aargau,ship,144
Aargau,train,16110
Appenzell Ausserrhoden,bus,16913
Appenzell Ausserrhoden,fun,16
Appenzell Ausserrhoden,other,34
Appenzell Ausserrhoden,train,2697
Appenzell Innerrhoden,bus,1642
Appenzell Innerrhoden,fun,54
Appenzell Innerrhoden,train,719
Basel-Landschaft,bus,81000
Basel-Landschaft,lift,12
Basel-Landschaft,train,3158
Basel-Landschaft,tram,38589
Basel-Stadt,bus,56319
Basel-Stadt,other,2
Basel-Stadt,train,2191
Basel-Stadt,tram,85323
Bern/Berne,bus,422836
Bern/Berne,fun,2883
Bern/Berne,lift,22215
Bern/Berne,other,6918
Bern/Berne,ship,551
Bern/Berne,train,31888
Bern/Berne,tram,86356
Fribourg,bus,81615
Fribourg,fun,56
Fribourg,other,707
Fribourg,ship,67
Fribourg,train,5554
Genève,bus,1742567
Genève,ship,122
Genève,train,5119
Genève,tram,430349
Glarus,bus,6162
Glarus,fun,346
Glarus,lift,12
Glarus,ship,13
Glarus,train,1292
Graubünden/Grigioni,bus,113532
Graubünden/Grigioni,fun,468
Graubünden/Grigioni,lift,130
Graubünden/Grigioni,other,1361
Graubünden/Grigioni,ship,38
Graubünden/Grigioni,train,7107
Jura,bus,25795
Jura,other,101
Jura,train,2306
Luzern,bus,284273
Luzern,fun,1478
Luzern,lift,32
Luzern,other,883
Luzern,ship,377
Luzern,train,7122
Neuchâtel,bus,122258
Neuchâtel,fun,4728
Neuchâtel,other,22
Neuchâtel,ship,86
Neuchâtel,train,6482
Nidwalden,bus,6930
Nidwalden,fun,426
Nidwalden,lift,24
Nidwalden,other,52
Nidwalden,ship,142
Nidwalden,train,810
Obwalden,bus,6645
Obwalden,fun,370
Obwalden,lift,28
Obwalden,ship,44
Obwalden,train,941
Schaffhausen,bus,84123
Schaffhausen,other,17
Schaffhausen,ship,61
Schaffhausen,train,1897
Schwyz,bus,50922
Schwyz,fun,460
Schwyz,lift,28
Schwyz,other,306
Schwyz,ship,120
Schwyz,train,4506
Solothurn,bus,88826
Solothurn,lift,38
Solothurn,other,657
Solothurn,ship,24
Solothurn,train,5361
Solothurn,tram,1548
St. Gallen,bus,241531
St. Gallen,fun,32
St. Gallen,lift,114
St. Gallen,other,322
St. Gallen,ship,337
St. Gallen,train,11821
Thurgau,bus,72368
Thurgau,other,28
Thurgau,ship,225
Thurgau,train,8371
Ticino,bus,132917
Ticino,fun,632
Ticino,lift,8
Ticino,other,2
Ticino,ship,372
Ticino,train,6659
Uri,bus,11329
Uri,fun,820
Uri,lift,8
Uri,ship,122
Uri,train,683
Valais/Wallis,bus,92611
Valais/Wallis,fun,3380
Valais/Wallis,lift,1011
Valais/Wallis,other,308
Valais/Wallis,ship,47
Valais/Wallis,train,9309
Vaud,bus,348871
Vaud,fun,2446
Vaud,lift,64
Vaud,metro,15359
Vaud,other,28
Vaud,ship,455
Vaud,train,24037
Zug,bus,90046
Zug,fun,144
Zug,ship,103
Zug,train,3302
Zürich,bus,1325259
Zürich,fun,9698
Zürich,other,15837
Zürich,ship,1997
Zürich,train,35970
Zürich,tram,348316
