time,start,end
0.0,3429,3331
0.15,2139,2956
0.3,1875,2938
0.45,995,1900
1.0,918,1403
1.15,523,898
1.3,652,720
1.45,365,522
2.0,591,548
2.15,347,523
2.3,467,421
2.45,221,366
3.0,425,420
3.15,247,360
3.3,416,314
3.45,243,306
4.0,355,294
4.15,374,367
4.3,571,334
4.45,874,522
5.0,1779,660
5.15,2747,1445
5.3,3090,1962
5.45,4311,3089
6.0,5477,3774
6.15,6170,5320
6.3,5800,4935
6.45,6500,6040
7.0,7331,6049
7.15,7538,7385
7.3,6596,6252
7.45,6749,7316
8.0,7505,6909
8.15,6692,7463
8.3,8298,7390
8.45,5581,6809
9.0,7099,6851
9.15,6122,7106
9.3,7348,6528
9.45,5280,6216
10.0,6676,6075
10.15,6079,6648
10.3,7286,6295
10.45,5311,6128
11.0,6638,5960
11.15,6183,6744
11.3,7879,6496
11.45,5758,6591
12.0,7209,6487
12.15,6426,7241
12.3,7732,6813
12.45,5899,6535
13.0,7368,6644
13.15,6694,7475
13.3,7954,7046
13.45,5585,6731
14.0,7044,6430
14.15,6280,7020
14.3,7636,6674
14.45,5511,6444
15.0,7153,6265
15.15,6685,7050
15.3,8289,6997
15.45,6354,6886
16.0,9116,7462
16.15,6952,7468
16.3,9342,8076
16.45,6898,7845
17.0,9181,8227
17.15,6742,7820
17.3,8977,8112
17.45,6571,7670
18.0,8685,7936
18.15,6358,7533
18.3,8221,7884
18.45,5796,7190
19.0,7534,7421
19.15,5153,6667
19.3,6780,6563
19.45,4648,5897
20.0,5905,5911
20.15,3902,5387
20.3,5218,5179
20.45,3506,4354
21.0,4758,4628
21.15,3011,4008
21.3,4483,4103
21.45,2965,3634
22.0,4096,3755
22.15,2829,3359
22.3,3994,3625
22.45,2905,3425
23.0,3887,3519
23.15,2717,3281
23.3,3807,3421
23.45,2627,3256
