State,bus,fun,lift,metro,other,ship,train,tram
Aargau,1270.0,0.0,0.0,0.0,78.0,6.0,25.0,0.0
Appenzell Ausserrhoden,202.0,2.0,0.0,0.0,12.0,0.0,11.0,0.0
Appenzell Innerrhoden,52.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0
Basel-Landschaft,469.0,0.0,2.0,0.0,0.0,0.0,6.0,78.0
Basel-Stadt,105.0,0.0,0.0,0.0,2.0,0.0,6.0,115.0
Bern/Berne,2453.0,60.0,33.0,0.0,662.0,36.0,225.0,12.0
Fribourg,605.0,5.0,0.0,0.0,288.0,7.0,33.0,0.0
Genève,668.0,0.0,0.0,0.0,0.0,16.0,3.0,75.0
Glarus,155.0,8.0,2.0,0.0,0.0,1.0,6.0,0.0
Graubünden/Grigioni,1338.0,49.0,20.0,0.0,131.0,5.0,111.0,0.0
Jura,356.0,0.0,0.0,0.0,30.0,0.0,19.0,0.0
Luzern,689.0,8.0,7.0,0.0,214.0,15.0,38.0,0.0
Neuchâtel,579.0,8.0,0.0,0.0,5.0,14.0,47.0,0.0
Nidwalden,84.0,16.0,4.0,0.0,11.0,7.0,5.0,0.0
Obwalden,131.0,10.0,3.0,0.0,0.0,7.0,5.0,0.0
Schaffhausen,237.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0
Schwyz,458.0,20.0,4.0,0.0,32.0,10.0,36.0,0.0
Solothurn,600.0,0.0,2.0,0.0,134.0,3.0,36.0,5.0
St. Gallen,1320.0,5.0,15.0,0.0,79.0,16.0,38.0,0.0
Thurgau,688.0,0.0,0.0,0.0,2.0,16.0,41.0,0.0
Ticino,1590.0,30.0,2.0,0.0,1.0,30.0,33.0,0.0
Uri,186.0,24.0,4.0,0.0,0.0,8.0,9.0,0.0
Valais/Wallis,1655.0,63.0,63.0,0.0,48.0,2.0,93.0,0.0
Vaud,2055.0,15.0,10.0,11.0,13.0,29.0,197.0,0.0
Zug,280.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0
Zürich,1156.0,7.0,0.0,0.0,1127.0,37.0,128.0,79.0
