origin,destination,count
BS,MU,256
BS,PR,238
MU,PR,237
BS,FRE,131
MU,FRE,129
PR,FRE,137
BS,LST,368
MU,LST,147
PR,LST,137
FRE,LST,137
BS,LSN,145
MU,LSN,143
PR,LSN,127
FRE,LSN,135
LST,LSN,143
BS,SIS,247
MU,SIS,147
PR,SIS,129
FRE,SIS,130
LST,SIS,244
LSN,SIS,145
BS,GKD,184
MU,GKD,145
PR,GKD,127
FRE,GKD,133
LST,GKD,182
LSN,GKD,148
SIS,GKD,186
BS,MOU,35
TA,MOU,82
BS,DMT,101
MU,DMT,57
PR,DMT,53
FRE,DMT,53
LST,DMT,57
LSN,DMT,57
SIS,DMT,57
GKD,DMT,57
TA,DMT,1
MOU,DMT,115
BS,LFN,161
MU,LFN,97
PR,LFN,89
FRE,LFN,89
LST,LFN,97
LSN,LFN,97
SIS,LFN,97
GKD,LFN,97
MOU,LFN,54
DMT,LFN,194
BS,ZWG,139
MU,ZWG,105
PR,ZWG,97
FRE,ZWG,97
LST,ZWG,105
LSN,ZWG,105
SIS,ZWG,105
GKD,ZWG,105
DMT,ZWG,85
LFN,ZWG,294
BS,GREL,139
MU,GREL,105
PR,GREL,97
FRE,GREL,97
LST,GREL,105
LSN,GREL,105
SIS,GREL,105
GKD,GREL,105
DMT,GREL,70
LFN,GREL,279
ZWG,GREL,299
BS,AE,248
MU,AE,123
PR,AE,115
FRE,AE,115
LST,AE,123
LSN,AE,123
SIS,AE,123
GKD,AE,123
DMT,AE,70
LFN,AE,336
ZWG,AE,299
GREL,AE,299
BS,DOR,248
MU,DOR,123
PR,DOR,115
FRE,DOR,115
LST,DOR,123
LSN,DOR,123
SIS,DOR,123
GKD,DOR,123
DMT,DOR,65
LFN,DOR,176
ZWG,DOR,139
GREL,DOR,139
AE,DOR,248
BS,POR,52
MU,POR,48
PR,POR,45
FRE,POR,45
LST,POR,48
LSN,POR,48
SIS,POR,48
GKD,POR,48
MOU,POR,48
DMT,POR,172
LFN,POR,102
ZWG,POR,55
GREL,POR,53
AE,POR,53
DOR,POR,52
BS,BSDH,248
MU,BSDH,123
PR,BSDH,115
FRE,BSDH,115
LST,BSDH,123
LSN,BSDH,123
SIS,BSDH,123
GKD,BSDH,123
DMT,BSDH,65
LFN,BSDH,119
ZWG,BSDH,139
GREL,BSDH,139
AE,BSDH,248
DOR,BSDH,248
POR,BSDH,52
BS,OL,518
MU,OL,141
PR,OL,123
FRE,OL,123
LST,OL,307
LSN,OL,138
SIS,OL,235
GKD,OL,182
DMT,OL,57
LFN,OL,97
ZWG,OL,105
GREL,OL,105
AE,OL,123
DOR,OL,123
POR,OL,48
BSDH,OL,123
GS,OL,117
SW,OL,99
SO,OL,317
OEN,OL,192
EG,OL,138
BS,KAU,103
MU,KAU,103
PR,KAU,103
BS,RF,310
MU,RF,107
PR,RF,108
KAU,RF,103
BS,MOE,106
MU,MOE,105
PR,MOE,106
KAU,MOE,103
RF,MOE,106
BS,FCK,258
MU,FCK,54
PR,FCK,55
KAU,FCK,50
RF,FCK,257
MOE,FCK,53
BS,BG,228
MU,BG,11
PR,BG,12
GS,BG,1
SO,BG,1
OEN,BG,1
OL,BG,306
KAU,BG,7
RF,BG,214
MOE,BG,10
FCK,BG,214
BS,STS,178
MU,STS,99
PR,STS,100
KAU,STS,99
RF,STS,178
MOE,STS,100
FCK,STS,129
BG,STS,86
BS,VI,68
LST,VI,8
OL,VI,75
GE,VI,134
GEAP,VI,122
NY,VI,93
GLA,VI,5
ROL,VI,1
MOR,VI,93
REN,VI,38
LS,VI,141
VV,VI,142
MX,VI,143
AIG,VI,144
BEX,VI,11
SM,VI,186
MTH,VI,107
MA,VI,306
SIO,VI,310
SIE,VI,310
LK,VI,232
BS,BR,96
LST,BR,12
OL,BR,105
GE,BR,157
GEAP,BR,122
NY,BR,93
GLA,BR,5
ROL,BR,1
MOR,BR,93
REN,BR,38
LS,BR,166
VV,BR,142
MX,BR,152
AIG,BR,144
BEX,BR,11
SM,BR,186
MTH,BR,107
MA,BR,306
SIO,BR,319
SIE,BR,310
LK,BR,232
VI,BR,491
BS,ZF,55
MU,ZF,2
LST,ZF,53
SIS,ZF,42
GKD,ZF,37
OL,ZF,239
BG,ZF,72
GE,ZF,66
GEAP,ZF,66
NY,ZF,66
MOR,ZF,66
LS,ZF,92
ABO,ZF,172
BS,SS,52
MU,SS,2
LST,SS,50
SIS,SS,39
GKD,SS,35
OL,SS,217
BG,SS,72
GE,SS,66
GEAP,SS,66
NY,SS,66
MOR,SS,66
LS,SS,92
ABO,SS,159
ZF,SS,358
REID,SS,159
NEB,SS,221
BS,EBR,3
LST,EBR,3
OL,EBR,46
ABO,EBR,42
ZF,EBR,46
REID,EBR,42
NEB,EBR,102
SS,EBR,268
SEM,EBR,266
RBGD,EBR,161
RBG,EBR,159
BS,AA,53
LST,AA,53
SIS,AA,55
GS,AA,23
SO,AA,113
OEN,AA,10
OL,AA,580
FCK,AA,1
BG,AA,376
GE,AA,85
GEAP,AA,78
NY,AA,9
MOR,AA,94
LS,AA,14
VI,AA,4
BR,AA,7
ABO,AA,167
ZF,AA,73
REID,AA,73
NEB,AA,73
SS,AA,73
SUHR,AA,144
BS,LB,54
LST,LB,53
SIS,LB,55
GS,LB,4
SO,LB,4
OEN,LB,1
OL,LB,178
FCK,LB,1
BG,LB,122
GE,LB,2
GEAP,LB,2
LS,LB,2
VI,LB,1
BR,LB,1
ABO,LB,91
ZF,LB,70
EBR,LB,98
HO,LB,68
GSAG,LB,65
SUHR,LB,135
AA,LB,452
RU,LB,169
BS,RK,12
LST,RK,6
OL,RK,56
SS,RK,141
SEM,RK,141
RBGD,RK,141
RBG,RK,141
EBR,RK,141
GSAG,RK,141
AA,RK,44
RU,RK,1
LB,RK,100
EBI,RK,171
BS,ZUE,769
MU,ZUE,2
PR,ZUE,3
LST,ZUE,53
SIS,ZUE,55
GS,ZUE,66
SO,ZUE,173
OEN,ZUE,50
OL,ZUE,339
RF,ZUE,143
MOE,ZUE,2
FCK,ZUE,143
BG,ZUE,461
STS,ZUE,79
KB,ZUE,12
GE,ZUE,173
GEAP,ZUE,162
NY,ZUE,10
MOR,ZUE,111
BY,ZUE,2
LS,ZUE,128
VI,ZUE,79
BR,ZUE,82
ZF,ZUE,2
AA,ZUE,406
RU,ZUE,60
LB,ZUE,241
EBI,ZUE,14
RK,ZUE,178
CHAM,ZUE,14
ZG,ZUE,406
BAA,ZUE,145
HGO,ZUE,88
ORDD,ZUE,88
MI,ZUE,14
URD,ZUE,166
BIR,ZUE,166
BON,ZUE,166
HED,ZUE,166
AF,ZUE,166
MTM,ZUE,102
URDW,ZUE,166
BS,ZAS,66
MU,ZAS,2
PR,ZAS,2
OL,ZAS,48
RF,ZAS,64
MOE,ZAS,1
FCK,ZAS,64
BG,ZAS,317
KB,ZAS,12
AA,ZAS,111
RU,ZAS,28
LB,ZAS,106
ZG,ZAS,87
MI,ZAS,14
URD,ZAS,166
BIR,ZAS,166
BON,ZAS,166
HED,ZAS,166
AF,ZAS,166
MTM,ZAS,102
URDW,ZAS,166
ZUE,ZAS,720
BS,ZOER,66
MU,ZOER,2
PR,ZOER,2
GS,ZOER,33
SO,ZOER,33
OEN,ZOER,32
OL,ZOER,38
RF,ZOER,64
MOE,ZOER,1
FCK,ZOER,64
BG,ZOER,66
KB,ZOER,12
GE,ZOER,1
GEAP,ZOER,1
LS,ZOER,32
AA,ZOER,5
LB,ZOER,5
ZG,ZOER,85
BAA,ZOER,85
HGO,ZOER,85
ORDD,ZOER,85
URD,ZOER,63
BIR,ZOER,63
BON,ZOER,63
HED,ZOER,63
AF,ZOER,63
URDW,ZOER,63
ZUE,ZOER,1268
ZAS,ZOER,196
ZSTH,ZOER,463
ZTB,ZOER,197
BS,ZFH,137
MU,ZFH,4
PR,ZFH,4
LST,ZFH,8
SIS,ZFH,8
GS,ZFH,33
SO,ZFH,33
OEN,ZFH,32
OL,ZFH,61
RF,ZFH,128
MOE,ZFH,2
FCK,ZFH,128
BG,ZFH,129
GE,ZFH,26
GEAP,ZFH,25
LS,ZFH,59
VI,ZFH,39
BR,ZFH,39
AA,ZFH,13
LB,ZFH,13
EBI,ZFH,2
RK,ZFH,30
CHAM,ZFH,1
ZG,ZFH,115
BAA,ZFH,115
HGO,ZFH,85
ORDD,ZFH,85
ZUE,ZFH,642
ZAS,ZFH,71
ZSTH,ZFH,94
ZTB,ZFH,94
ZOER,ZFH,474
ZWOL,ZFH,80
ZEN,ZFH,203
ZWIE,ZFH,202
ZWIP,ZFH,94
BS,TG,4
OL,TG,261
RF,TG,4
FCK,TG,4
BG,TG,600
STS,TG,4
KB,TG,108
ABO,TG,155
ZF,TG,65
REID,TG,65
NEB,TG,65
SS,TG,65
AA,TG,328
RU,TG,231
LB,TG,121
ZUE,TG,271
ZAS,TG,263
ZSTH,TG,242
ZOER,TG,12
ZHDB,TG,246
WS,TG,12
STET,TG,242
PFZ,TG,7
FET,TG,7
IL,TG,7
EF,TG,32
DTL,TG,34
ZZ,TG,46
NH,TG,74
SH,TG,74
DOE,TG,108
BS,BD,211
MU,BD,4
PR,BD,5
GS,BD,1
SO,BD,1
OEN,BD,1
OL,BD,229
RF,BD,207
MOE,BD,3
FCK,BD,207
BG,BD,710
STS,BD,79
KB,BD,93
LS,BD,1
ABO,BD,90
AA,BD,255
RU,BD,121
LB,BD,121
ZUE,BD,538
ZAS,BD,329
ZSTH,BD,316
ZTB,BD,74
ZOER,BD,153
ZSEB,BD,75
ZAF,BD,75
