origin,destination,count
ZFH,BD,129
ZHDB,BD,321
ZK,BD,62
KUES,BD,62
ERLB,BD,62
HERL,BD,62
ML,BD,62
UET,BD,62
WS,BD,12
KGO,BD,62
STET,BD,242
PFZ,BD,7
FET,BD,7
IL,BD,7
EF,BD,32
DTL,BD,34
ZZ,BD,43
NH,BD,74
SH,BD,74
DOE,BD,93
TG,BD,547
BS,DT,66
MU,DT,2
PR,DT,2
OL,DT,10
RF,DT,64
MOE,DT,1
FCK,DT,64
BG,DT,317
KB,DT,12
AA,DT,105
RU,DT,28
LB,DT,100
MI,DT,14
ZUE,DT,512
ZAS,DT,512
ZSTH,DT,346
ZOER,DT,130
ZFH,DT,70
ZHDB,DT,362
WS,DT,59
STET,DT,345
PFZ,DT,20
FET,DT,20
IL,DT,20
EF,DT,80
DTL,DT,82
NH,DT,74
SH,DT,74
DOE,DT,12
TG,DT,263
BD,DT,329
WE,DT,263
KLW,DT,323
BS,BI,35
TA,BI,8
MOU,BI,121
DMT,BI,113
LFN,BI,54
POR,BI,48
GS,BI,156
SW,BI,84
SO,BI,263
OEN,BI,99
EG,BI,45
OL,BI,224
BG,BI,1
GE,BI,106
GEAP,BI,99
NY,BI,10
MOR,BI,117
BY,BI,2
LS,BI,61
AA,BI,113
LB,BI,4
ZUE,BI,173
ZOER,BI,33
ZFH,BI,33
BD,BI,1
YV,BI,180
NE,BI,244
BS,LZ,144
MU,LZ,2
LST,LZ,63
SIS,LZ,39
GKD,LZ,35
OL,LZ,197
GE,LZ,66
GEAP,LZ,66
NY,LZ,66
MOR,LZ,66
LS,LZ,92
ABO,LZ,43
ZF,LZ,193
REID,LZ,43
NEB,LZ,102
SS,LZ,448
SEM,LZ,268
RBGD,LZ,161
RBG,LZ,159
EBR,LZ,365
HO,LZ,100
GSAG,LZ,257
LB,LZ,65
EBI,LZ,164
RK,LZ,221
CHAM,LZ,163
ZG,LZ,245
BAA,LZ,186
MI,LZ,1
ZUE,LZ,96
ZEN,LZ,5
ZFH,LZ,30
RW,LZ,52
SCME,LZ,52
UZ,LZ,52
TW,LZ,88
PF,LZ,52
BIB,LZ,52
PAL,LZ,92
ROM,LZ,92
FRI,LZ,94
BS,GD,90
LST,GD,13
OL,GD,97
RK,GD,138
ZG,GD,82
ZUE,GD,102
RW,GD,60
SCME,GD,52
UZ,GD,52
PF,GD,60
BIB,GD,97
LZ,GD,275
KUE,GD,136
BS,SCHW,56
LST,SCHW,4
OL,SCHW,56
RK,SCHW,71
ZG,SCHW,24
ZUE,SCHW,28
LZ,SCHW,102
KUE,SCHW,43
GD,SCHW,180
BS,BRU,56
LST,BRU,4
OL,BRU,56
RK,BRU,72
ZG,BRU,25
ZUE,BRU,29
LZ,BRU,102
KUE,BRU,43
GD,BRU,181
SCHW,BRU,180
BS,FL,56
LST,FL,4
OL,FL,57
RK,FL,77
ZG,FL,31
ZUE,FL,35
LZ,FL,64
KUE,FL,4
GD,FL,150
SCHW,FL,139
BRU,FL,140
BS,ER,56
LST,ER,4
OL,ER,56
RK,ER,27
ZG,ER,23
ZUE,ER,27
LZ,ER,63
KUE,ER,4
GD,ER,99
SCHW,ER,97
BRU,ER,97
FL,ER,98
BS,GOE,11
OL,GOE,11
RK,GOE,9
ZG,GOE,9
ZUE,GOE,9
LZ,GOE,13
GD,GOE,24
SCHW,GOE,22
BRU,GOE,22
FL,GOE,24
ER,GOE,73
BS,BIA,5
OL,BIA,6
LZ,BIA,6
GD,BIA,6
FL,BIA,2
ER,BIA,51
GOE,BIA,52
BS,BEL,32
LST,BEL,9
OL,BEL,38
RK,BEL,69
ZG,BEL,64
ZUE,BEL,81
LZ,BEL,48
GD,BEL,119
FL,BEL,10
ER,BEL,51
GOE,BEL,54
BIA,BEL,135
BS,LG,29
LST,LG,9
OL,LG,35
RK,LG,55
ZG,LG,51
ZUE,LG,64
LZ,LG,40
GD,LG,103
FL,LG,10
ER,LG,42
GOE,LG,45
BIA,LG,64
BEL,LG,323
GIU,LG,200
BS,MEN,7
OL,MEN,9
RK,MEN,5
ZG,MEN,5
ZUE,MEN,5
LZ,MEN,9
GD,MEN,14
FL,MEN,4
BIA,MEN,16
BEL,MEN,152
GIU,MEN,132
LG,MEN,221
BS,CHI,9
OL,CHI,10
RK,CHI,16
ZG,CHI,21
ZUE,CHI,22
LZ,CHI,10
GD,CHI,32
FL,CHI,4
BIA,CHI,14
BEL,CHI,129
GIU,CHI,91
LG,CHI,187
MEN,CHI,266
BS,LO,3
OL,LO,3
RK,LO,19
ZG,LO,18
ZUE,LO,22
LZ,LO,6
GD,LO,19
BRU,LO,1
FL,LO,1
BIA,LO,49
BEL,LO,143
GIU,LO,123
BS,W,9
LST,W,9
SIS,W,9
GS,W,33
SO,W,33
OEN,W,32
OL,W,56
BG,W,242
GE,W,26
GEAP,W,25
LS,W,59
VI,W,39
BR,W,39
AA,W,92
RU,W,22
LB,W,92
EBI,W,1
RK,W,29
ZG,W,92
BAA,W,92
HGO,W,63
ORDD,W,63
ZUE,W,932
ZAS,W,345
ZSTH,W,443
ZTB,W,2
ZOER,W,381
ZWOL,W,203
ZEN,W,203
ZWIE,W,203
ZWIP,W,66
ZFH,W,324
ZHDB,W,435
ML,W,79
UET,W,79
MAEN,W,79
STAE,W,79
UER,W,78
RW,W,79
RUE,W,59
WS,W,141
STET,W,353
KIL,W,203
RUES,W,203
TW,W,232
ORD,W,140
HG,W,140
WAE,W,140
RI,W,140
PF,W,140
LA,W,77
SIB,W,77
ZB,W,77
EF,W,321
DTL,W,172
BSD,W,151
KL,W,83
OP,W,83
BUE,W,89
NH,W,165
SH,W,165
TG,W,242
BD,W,242
WE,W,242
KLW,W,305
DT,W,345
SCHL,W,345
NHOF,W,127
GLZB,W,345
FRI,W,29
YV,W,31
NE,W,31
BI,W,33
LZ,W,29
BS,SG,8
LST,SG,8
SIS,SG,8
GS,SG,33
SO,SG,33
OEN,SG,32
OL,SG,35
GE,SG,26
GEAP,SG,25
LS,SG,59
AA,SG,8
LB,SG,8
ZUE,SG,155
ZOER,SG,88
ZFH,SG,133
RW,SG,67
SCME,SG,68
UZ,SG,111
PF,SG,57
BIB,SG,57
SH,SG,74
FRI,SG,29
YV,SG,31
NE,SG,31
BI,SG,33
LZ,SG,52
KUE,SG,52
GD,SG,52
W,SG,169
WGR,SG,8
AD,SG,14
EL,SG,16
WF,SG,60
RH,SG,157
KRH,SG,147
KR,SG,87
STR,SG,75
WA,SG,147
UZW,SG,211
FLA,SG,211
GSS,SG,273
HE,SG,233
DG,SG,87
BS,SMG,4
LST,SMG,4
SIS,SMG,4
AA,SMG,4
LB,SMG,6
ZUE,SMG,48
ZOER,SMG,30
ZFH,SMG,43
UZ,SMG,36
W,SMG,49
WGR,SMG,2
AD,SMG,4
EL,SMG,4
WA,SMG,70
UZW,SMG,37
FLA,SMG,37
GSS,SMG,37
HE,SMG,73
DG,SMG,70
SG,SMG,175
SGF,SMG,129
GOL,SMG,129
RS,SMG,294
RCK,SMG,227
BS,BN,231
LST,BN,101
SIS,BN,3
SO,BN,96
OL,BN,424
BG,BN,33
GE,BN,143
GEAP,BN,138
NY,BN,68
MOR,BN,68
LS,BN,187
VI,BN,176
BR,BN,223
ZF,BN,98
SS,BN,96
SEM,BN,2
AA,BN,52
LB,BN,12
RK,BN,4
ZUE,BN,292
ZAS,BN,36
ZOER,BN,3
ZFH,BN,90
TG,BN,2
BD,BN,33
DT,BN,2
PAL,BN,105
ROM,BN,134
FRI,BN,309
MRT,BN,1
PAY,BN,1
NE,BN,44
BI,BN,166
CF,BN,35
KZ,BN,139
LY,BN,166
LZ,BN,102
W,BN,88
FF,BN,57
WF,BN,57
AW,BN,57
RH,BN,57
UZW,BN,1
FLA,BN,1
GSS,BN,1
SG,BN,31
BS,TH,218
LST,TH,93
SIS,TH,3
SO,TH,44
OL,TH,228
VI,TH,179
BR,TH,228
AA,TH,7
LB,TH,1
ZUE,TH,82
ZFH,TH,39
FRI,TH,80
W,TH,39
FF,TH,39
WF,TH,39
AW,TH,39
RH,TH,39
BN,TH,616
BS,IO,122
LST,IO,80
SIS,IO,3
OL,IO,122
LZ,IO,27
BN,IO,136
TH,IO,137
BS,CH,151
RF,CH,2
FCK,CH,2
BG,CH,2
STS,CH,2
ZUE,CH,307
ZOER,CH,30
ZWOL,CH,1
ZEN,CH,2
ZWIE,CH,2
ZFH,CH,29
WS,CH,1
KIL,CH,1
RUES,CH,1
TW,CH,82
ORD,CH,2
HG,CH,3
WAE,CH,82
RI,CH,3
PF,CH,82
LA,CH,6
SIB,CH,79
ZB,CH,82
EF,CH,1
DTL,CH,1
TG,CH,1
BD,CH,2
W,CH,28
UZW,CH,30
FLA,CH,30
GSS,CH,30
SG,CH,30
RS,CH,60
SMG,CH,60
HEBG,CH,60
ALT,CH,60
BS,LQ,151
RF,LQ,2
FCK,LQ,2
BG,LQ,2
STS,LQ,2
ZUE,LQ,307
ZOER,LQ,30
ZWOL,LQ,1
ZEN,LQ,2
ZWIE,LQ,2
ZFH,LQ,29
WS,LQ,1
KIL,LQ,1
RUES,LQ,1
TW,LQ,82
ORD,LQ,2
HG,LQ,3
WAE,LQ,82
RI,LQ,3
PF,LQ,82
LA,LQ,6
SIB,LQ,79
ZB,LQ,82
EF,LQ,1
DTL,LQ,1
TG,LQ,1
BD,LQ,2
W,LQ,28
UZW,LQ,30
FLA,LQ,30
GSS,LQ,30
SG,LQ,30
RS,LQ,61
RCK,LQ,1
SMG,LQ,61
HEBG,LQ,61
ALT,LQ,61
CH,LQ,487
BS,SA,151
RF,SA,2
FCK,SA,2
BG,SA,2
STS,SA,2
ZUE,SA,318
ZOER,SA,32
ZWOL,SA,1
ZEN,SA,2
ZWIE,SA,2
ZFH,SA,31
UZ,SA,77
WS,SA,1
KIL,SA,1
RUES,SA,1
TW,SA,82
ORD,SA,2
HG,SA,3
WAE,SA,82
RI,SA,3
PF,SA,82
LA,SA,6
SIB,SA,79
ZB,SA,125
EF,SA,1
DTL,SA,1
TG,SA,1
BD,SA,2
W,SA,30
WA,SA,38
UZW,SA,32
FLA,SA,32
GSS,SA,32
HE,SA,40
DG,SA,38
SG,SA,78
SGF,SA,40
GOL,SA,40
RS,SA,160
RCK,SA,90
SMG,SA,160
HEBG,SA,160
ALT,SA,162
RSST,SA,40
CH,SA,400
LQ,SA,401
BRAG,SA,222
BU,SA,202
TA,SCB,101
MOU,SCB,82
DMT,SCB,1
BI,SCB,100
MOU,SW,37
GS,SW,84
MOU,SO,37
GS,SO,156
SW,SO,180
MOU,GE,3
DMT,GE,3
GS,GE,3
SO,GE,100
OEN,GE,2
OL,GE,109
SY,GE,143
MOU,GEAP,3
DMT,GEAP,3
GS,GEAP,3
SO,GEAP,93
OEN,GEAP,2
OL,GEAP,102
GE,GEAP,607
VSX,GEAP,19
COP,GEAP,168
MOU,MOR,3
DMT,MOR,3
GS,MOR,7
SO,MOR,111
OEN,MOR,5
OL,MOR,111
GE,MOR,670
VSX,MOR,18
COP,MOR,341
GEAP,MOR,470
NY,MOR,571
GLA,MOR,348
ROL,MOR,350
ALL,MOR,521
MOU,LS,1
DMT,LS,1
GS,LS,53
SO,LS,53
OEN,LS,43
OL,LS,65
BG,LS,1
GE,LS,717
VSX,LS,12
COP,LS,329
GEAP,LS,480
NY,LS,549
GLA,LS,336
ROL,LS,339
ALL,LS,471
MOR,LS,716
CHV,LS,126
COS,LS,187
BY,LS,190
REN,LS,734
MOU,YV,4
DMT,YV,4
GS,YV,62
SO,YV,166
OEN,YV,50
OL,YV,166
BG,YV,1
GE,YV,106
GEAP,YV,99
NY,YV,10
MOR,YV,117
CHV,YV,128
COS,YV,128
BY,YV,130
REN,YV,131
LS,YV,192
AA,YV,103
ZUE,YV,160
ZOER,YV,31
ZFH,YV,31
BD,YV,1
PAL,YV,32
FRI,YV,118
PAY,YV,151
MOU,NE,5
DMT,NE,5
GS,NE,62
SO,NE,166
OEN,NE,50
OL,NE,166
BG,NE,1
GE,NE,106
GEAP,NE,99
NY,NE,10
MOR,NE,117
BY,NE,2
REN,NE,4
LS,NE,65
AA,NE,103
ZUE,NE,160
ZOER,NE,31
ZFH,NE,31
BD,NE,1
FRI,NE,34
MRT,NE,37
YV,NE,194
GS,OEN,99
SW,OEN,99
SO,OEN,266
GS,EG,45
SW,EG,99
SO,EG,138
OEN,EG,138
GS,NY,3
SO,NY,10
OEN,NY,2
OL,NY,10
GE,NY,594
VSX,NY,22
COP,NY,364
GEAP,NY,386
GS,BY,2
SO,BY,2
OEN,BY,2
OL,BY,2
CHV,BY,128
COS,BY,207
GS,UZW,33
SO,UZW,33
OEN,UZW,32
OL,UZW,33
GE,UZW,1
GEAP,UZW,1
LS,UZW,32
ZUE,UZW,89
ZOER,UZW,89
ZFH,UZW,89
FRI,UZW,1
YV,UZW,31
NE,UZW,31
BI,UZW,33
W,UZW,103
WGR,UZW,8
AD,UZW,14
EL,UZW,16
GS,FLA,33
SO,FLA,33
OEN,FLA,32
OL,FLA,33
GE,FLA,1
GEAP,FLA,1
LS,FLA,32
ZUE,FLA,89
ZOER,FLA,89
ZFH,FLA,89
FRI,FLA,1
YV,FLA,31
NE,FLA,31
BI,FLA,33
W,FLA,103
WGR,FLA,8
AD,FLA,14
EL,FLA,16
UZW,FLA,212
GS,GSS,33
SO,GSS,33
OEN,GSS,32
OL,GSS,33
GE,GSS,1
GEAP,GSS,1
LS,GSS,32
ZUE,GSS,89
ZOER,GSS,89
ZFH,GSS,89
FRI,GSS,1
YV,GSS,31
NE,GSS,31
BI,GSS,33
W,GSS,103
WGR,GSS,8
AD,GSS,14
EL,GSS,16
WF,GSS,60
UZW,GSS,212
FLA,GSS,212
GS,PRMA,1
SO,PRMA,1
OEN,PRMA,1
OL,PRMA,1
BG,PRMA,1
GE,PRMA,13
COP,PRMA,13
GEAP,PRMA,8
NY,PRMA,13
GLA,PRMA,13
ROL,PRMA,13
ALL,PRMA,89
MOR,PRMA,89
CHV,PRMA,59
COS,PRMA,113
BY,PRMA,119
REN,PRMA,210
LS,PRMA,211
PU,PRMA,80
LTY,PRMA,80
CU,PRMA,81
VV,PRMA,83
TOUR,PRMA,80
CL,PRMA,80
MX,PRMA,82
VIL,PRMA,82
AIG,PRMA,8
BEX,PRMA,8
SM,PRMA,8
AA,PRMA,1
ZUE,PRMA,1
BD,PRMA,1
PAL,PRMA,11
YV,PRMA,60
NE,PRMA,1
BI,PRMA,1
SO,BDF,90
OL,BDF,97
AA,BDF,5
LB,BDF,5
ZUE,BDF,36
ZAS,BDF,35
BN,BDF,227
TH,BDF,175
OEN,LTH,72
OL,LTH,292
BG,LTH,91
ABO,LTH,195
AA,LTH,99
RU,LTH,56
LB,LTH,96
ZUE,LTH,36
ZAS,LTH,35
TG,LTH,90
BD,LTH,90
BN,LTH,86
BDF,LTH,97
HB,LTH,97
OL,ABO,367
BG,ABO,163
OL,REID,159
BG,REID,72
ABO,REID,159
ZF,REID,159
OL,NEB,159
BG,NEB,72
ABO,NEB,159
ZF,NEB,159
REID,NEB,159
OL,SEM,43
GE,SEM,1
GEAP,SEM,1
NY,SEM,1
MOR,SEM,1
LS,SEM,2
ABO,SEM,42
ZF,SEM,45
REID,SEM,42
NEB,SEM,103
SS,SEM,273
OL,RBGD,2
ABO,RBGD,1
ZF,RBGD,2
REID,RBGD,1
NEB,RBGD,2
SS,RBGD,160
SEM,RBGD,161
OL,RBG,1
ZF,RBG,1
SS,RBG,158
SEM,RBG,159
RBGD,RBG,159
OL,GSAG,1
ZF,GSAG,1
NEB,GSAG,1
SS,GSAG,160
SEM,GSAG,163
RBGD,GSAG,159
RBG,GSAG,159
EBR,GSAG,252
HO,GSAG,92
OL,RU,178
BG,RU,241
ABO,RU,128
ZF,RU,72
REID,RU,72
NEB,RU,72
SS,RU,72
AA,RU,330
OL,MI,43
BG,MI,34
AA,MI,44
RU,MI,3
LB,MI,112
RK,MI,128
OL,WE,90
BG,WE,336
KB,WE,15
AA,WE,112
RU,WE,57
LB,WE,22
ZUE,WE,338
ZAS,WE,263
ZSTH,WE,316
ZTB,WE,74
ZOER,WE,87
ZSEB,WE,75
ZAF,WE,75
ZHDB,WE,321
ZK,WE,62
KUES,WE,62
ERLB,WE,62
HERL,WE,62
ML,WE,62
UET,WE,62
WS,WE,12
KGO,WE,62
STET,WE,242
PFZ,WE,7
FET,WE,7
IL,WE,7
EF,WE,32
DTL,WE,34
ZZ,WE,2
NH,WE,74
SH,WE,74
DOE,WE,15
TG,WE,351
BD,WE,426
OL,KLW,4
BG,KLW,250
AA,KLW,136
RU,KLW,29
LB,KLW,132
MI,KLW,1
ZUE,KLW,323
ZAS,KLW,323
ZSTH,KLW,305
ZHDB,KLW,318
STET,KLW,305
EF,KLW,20
DTL,KLW,22
NH,KLW,74
SH,KLW,74
TG,KLW,250
BD,KLW,250
WE,KLW,250
OL,SCHL,4
BG,SCHL,250
AA,SCHL,98
RU,SCHL,28
LB,SCHL,94
ZUE,SCHL,366
ZAS,SCHL,366
ZSTH,SCHL,346
ZHDB,SCHL,362
STET,SCHL,345
EF,SCHL,21
DTL,SCHL,23
NH,SCHL,74
SH,SCHL,74
TG,SCHL,250
BD,SCHL,250
WE,SCHL,250
KLW,SCHL,322
DT,SCHL,366
OL,NHOF,3
BG,NHOF,132
AA,NHOF,18
RU,NHOF,16
LB,NHOF,15
ZUE,NHOF,132
ZAS,NHOF,132
ZSTH,NHOF,127
ZHDB,NHOF,129
STET,NHOF,127
EF,NHOF,14
DTL,NHOF,15
NH,NHOF,38
SH,NHOF,38
TG,NHOF,132
BD,NHOF,132
WE,NHOF,132
KLW,NHOF,132
DT,NHOF,132
SCHL,NHOF,132
OL,GLZB,4
BG,GLZB,250
AA,GLZB,98
RU,GLZB,28
LB,GLZB,94
ZUE,GLZB,366
ZAS,GLZB,366
ZSTH,GLZB,346
ZHDB,GLZB,362
STET,GLZB,345
EF,GLZB,21
DTL,GLZB,23
NH,GLZB,74
SH,GLZB,74
TG,GLZB,250
BD,GLZB,250
WE,GLZB,250
KLW,GLZB,322
DT,GLZB,366
SCHL,GLZB,366
NHOF,GLZB,132
OL,FRI,14
GE,FRI,142
GEAP,FRI,138
NY,FRI,68
