code,name,canton,latitude,longitude
LST,Liestal,Basel-Landschaft,47.484461,7.731367
YV,Yverdon-les-Bains,Vaud,46.781545,6.640943
WF,Weinfelden,Thurgau,47.566224,9.106368
MOR,Morges,Vaud,46.511101,6.493969
SA,Sargans,St. Gallen,47.04536,9.445399
REN,Renens VD,Vaud,46.537042,6.578935
RH,Romanshorn,Thurgau,47.565523,9.379371
BUE,Bülach,Zürich,47.52395,8.536209
NY,Nyon,Vaud,46.384419,6.235966
SS,Sursee,Luzern,47.170795,8.097893
ZB,Ziegelbrücke,St. Gallen,47.136156,9.060051
RK,Rotkreuz,Zug,47.141764,8.430495
SIO,Sion,Valais/Wallis,46.227553,7.359196
LTH,Langenthal,Bern/Berne,47.217303,7.784715
FF,Frauenfeld,Thurgau,47.558163,8.896559
RUE,Rüti ZH,Zürich,47.260484,8.854079
LY,Lyss,Bern/Berne,47.076324,7.306301
SCHL,Schlieren,Zürich,47.399176,8.447244
ZWIE,Zürich Wiedikon,Zürich,47.371477,8.523485
GSS,Gossau SG,St. Gallen,47.411832,9.25305
WS,Wallisellen,Zürich,47.412723,8.591928
ZEN,Zürich Enge,Zürich,47.364099,8.53082
MA,Martigny,Valais/Wallis,46.105831,7.079124
RF,Rheinfelden,Aargau,47.551214,7.792168
ZF,Zofingen,Aargau,47.288053,7.943117
KR,Kreuzlingen,Thurgau,47.652553,9.16908
SCWE,Schwerzenbach ZH,Zürich,47.384386,8.658673
ZERM,Zermatt,Valais/Wallis,46.02447,7.748289
UZ,Uznach,St. Gallen,47.224283,8.98069
LO,Locarno,Ticino,46.17242,8.80136
CF,La Chaux-de-Fonds,Neuchâtel,47.098374,6.825982
SIS,Sissach,Basel-Landschaft,47.462754,7.812027
DTL,Dietlikon,Zürich,47.420202,8.619276
WA,Wattwil,St. Gallen,47.29948,9.086459
ML,Meilen,Zürich,47.269811,8.644311
PR,Pratteln,Basel-Landschaft,47.522669,7.690817
AIG,Aigle,Vaud,46.316855,6.963683
BAA,Baar,Zug,47.195364,8.523271
HG,Horgen,Zürich,47.261483,8.596916
DUE,Dübendorf,Zürich,47.40008,8.623421
DMT,Delémont,Jura,47.362013,7.350063
SIE,Sierre/Siders,Valais/Wallis,46.292122,7.532825
SMOR,St. Moritz,Graubünden/Grigioni,46.49797,9.846389
RS,Rorschach,St. Gallen,47.478002,9.505141
REG,Regensdorf-Watt,Zürich,47.436564,8.472084
STAN,Stans,Nidwalden,46.95832,8.366739
OGL,Oberglatt,Zürich,47.470205,8.510618
AF,Affoltern am Albis,Zürich,47.27607,8.446594
LFN,Laufen,Basel-Landschaft,47.419346,7.502636
MEN,Mendrisio,Ticino,45.869109,8.97861
OEN,Oensingen,Solothurn,47.285035,7.70987
KL,Kloten,Zürich,47.448607,8.583809
GIU,Giubiasco,Ticino,46.173813,9.0036
CHAM,Cham,Zug,47.178244,8.457504
STAE,Stäfa,Zürich,47.240527,8.721652
BUB,Bubikon,Zürich,47.270841,8.822714
RI,Richterswil,Zürich,47.208375,8.707481
KZ,Kerzers,Fribourg,46.975079,7.19281
WO,Wohlen,,,
GKD,Gelterkinden,Basel-Landschaft,47.465894,7.847667
PFZ,Pfäffikon ZH,Zürich,47.367086,8.784799
ZTB,Zürich Tiefenbrunnen,Zürich,47.350125,8.561389
BSD,Bassersdorf,Zürich,47.438571,8.62622
TG,Turgi,Aargau,47.491757,8.253458
