time,start,end
0.0,5568,6287
0.3,2870,4838
1.0,1441,2301
1.3,1017,1242
2.0,938,1071
2.3,688,787
3.0,672,780
3.3,659,620
4.0,729,661
4.3,1445,856
5.0,4526,2105
5.3,7401,5051
6.0,11647,9094
6.3,12300,10975
7.0,14869,13434
7.3,13345,13568
8.0,14197,14372
8.3,13879,14199
9.0,13221,13957
9.3,12628,12744
10.0,12755,12723
10.3,12597,12423
11.0,12821,12704
11.3,13637,13087
12.0,13635,13728
12.3,13631,13348
13.0,14062,14119
13.3,13539,13777
14.0,13324,13450
14.3,13147,13118
15.0,13838,13315
15.3,14643,13883
16.0,16068,14930
16.3,16240,15921
17.0,15923,16047
17.3,15548,15782
18.0,15043,15469
18.3,14017,15074
19.0,12687,14088
19.3,11428,12460
20.0,9807,11298
20.3,8724,9533
21.0,7769,8636
21.3,7448,7737
22.0,6925,7114
22.3,6899,7050
23.0,6604,6800
23.3,6434,6677
